ein,ntmaj10
100007967,ED
100727381,HU
100817874,AR
100898048,HE
100914983,HE
110025081,HU
111661356,HU
112206183,ED
112284606,HU
112315141,HU
112379033,HU
112441884,AR
112521910,ED
112533958,HU
112642391,AR
112651082,EN
112654179,AR
112707960,HE
112713519,HU
112720514,HU
112725581,HE
112769918,AR
112779073,HE
112854787,HU
112905010,HU
112926951,HE
112928504,AR
112950344,HE
112974154,HU
113008841,ED
113044206,HU
113087986,HU
113088265,HE
113096613,HU
113115991,AR
113142753,HU
113223940,ED
113297965,HU
113330467,HE
113367575,AR
113374927,HE
113397963,ED
113414724,HU
113424856,HU
113428578,HU
113450772,AR
113456809,ED
113486100,HE
113486108,EN
113490724,AR
113545764,AR
113573392,HU
113585917,HU
113618833,HE
113625329,ED
113629694,HE
113642765,HE
113643210,HU
113644283,EN
113645713,ED
113652743,HU
113654103,HU
113654252,HU
113654891,ED
113656501,HE
113663340,HU
113666054,ED
113669516,AR
113674491,HE
113675554,HU
113675939,HU
113676195,ED
113677088,HU
113679633,HU
113682608,ED
113683376,HE
113685063,HE
113687092,HU
113688170,HU
113691112,HE
113696535,ED
113699100,HU
113700175,HU
113700198,HE
113704533,AR
113707471,ED
113709054,HU
113712453,HU
113713102,HU
113713652,HU
113716394,HU
113716896,HE
113717009,ED
113719194,ED
113722272,ED
113727784,EN
113733297,ED
113738503,HU
113742786,ED
113746402,HU
113753074,HU
113753239,ED
113756321,AR
113761392,HE
113763529,HU
113765791,HU
113771181,ED
113771298,HU
113771828,HU
113774882,ED
113776089,ED
113780516,ED
113784662,HU
113786401,HU
113788884,ED
113789258,EN
113792587,HE
113793355,ED
113793641,HU
113798083,ED
113802048,HU
113806518,ED
113807411,HU
113814824,HE
113816920,AR
113817917,HU
113819369,ED
113820295,HU
113820931,HU
113821391,HU
113822031,HU
113824934,HE
113826012,AR
113826837,HU
113830615,EN
113835053,ED
113835285,AR
113836336,HE
113839034,HU
113839742,HU
113840510,HU
113841383,HU
116039909,ED
116042723,AR
116078621,EN
116082038,HE
130183783,AR
130431730,AR
130887555,HE
131427105,HU
131556216,HU
131623902,HU
131623993,HU
131624083,HE
131635283,HE
131656692,HE
131659345,HU
131661596,AR
131691693,HE
131777413,HE
131810938,HU
131872717,HE
131883814,HE
131893924,ED
131930701,HE
131939929,HU
131972962,ED
132556242,HU
132574854,HU
132622843,AR
132623925,ED
132640040,HE
132720500,HU
132752418,HU
132769303,ED
132772274,ED
132782826,HU
132802083,HU
132868189,HU
132875930,HU
132896023,AR
132918290,AR
132926247,HU
132940108,HE
132952301,HU
132961275,AR
132975197,ED
132975256,HU
132977848,AR
132979554,ED
132982969,HU
132987189,ED
132998164,ED
132998313,ED
133021938,ED
133026182,HU
133054371,AR
133060642,ED
133078109,AR
133115330,HE
133117436,HU
133118338,HU
133122105,AR
133141598,HU
133155199,HE
133156525,ED
133167550,AR
133171782,AR
133177396,HE
133214009,HU
133226589,HU
133228750,HE
133245722,HE
133252202,HU
133275989,ED
133289378,AR
133300271,HU
133318348,AR
133334527,AR
133347411,HU
133367468,HE
133383347,HE
133389153,ED
133390194,HE
133394302,AR
133418286,HE
133428751,AR
133430888,HU
133435979,ED
133462632,HU
133470508,AR
133485459,ED
133490214,HU
133494327,ED
133500642,HU
133503955,ED
133522980,ED
133528553,HU
133537535,HE
133537710,HU
133549861,HU
133555402,ED
133619101,AR
133634652,EN
133635414,HU
133645315,AR
133646286,AR
133649722,AR
133676455,AR
133685627,ED
133689481,EN
133695377,ED
133700657,AR
133707563,ED
133708081,ED
133718952,HU
133722771,HE
133724434,HU
133729352,AR
133736895,HU
133740564,ED
133753257,HU
133769271,HE
133769297,HU
133772824,ED
133787002,AR
133799819,HU
133819482,AR
133830191,HU
133842415,HE
133845105,HU
133845938,ED
133856051,ED
133859506,ED
133874192,AR
133902888,HU
133921133,HE
133932856,AR
133934845,HU
133936420,AR
133940188,AR
133949518,HU
133966046,AR
133968225,ED
133971703,HU
133992900,ED
134007269,HE
134015123,AR
134017822,ED
134022546,HE
134050080,ED
134053436,ED
134061717,HU
134064280,HE
134077919,AR
134078132,ED
134078942,ED
134084940,HE
134091453,ED
134091525,HU
134096981,HU
134110859,AR
134112244,HE
134116713,ED
134127032,ED
134148824,HU
134172387,HE
134175003,HE
134191013,AR
134191567,ED
134191840,ED
134194814,ED
134198529,HE
134203875,ED
134204788,HU
134205042,HU
134205043,HU
134205044,HU
134205636,HE
134206619,HU
134208412,HE
134208997,HU
134210824,HU
134216229,HU
134219537,HU
134224829,HU
134230096,ED
134231983,HU
134239560,AR
134241279,HU
134242233,HU
134242476,HU
134249100,ED
134253120,ED
134254040,ED
134262893,ED
134264074,HU
134266138,ED
134266307,HE
134271553,EN
134275560,AR
134276160,HU
134281183,ED
134284034,ED
134284578,ED
134284767,ED
134290193,HU
134290839,ED
134296515,HU
134297571,HU
134305523,HU
134320008,AR
134321991,HU
134324258,HE
134334121,AR
134335830,AR
134337005,AR
134340068,HU
134352242,ED
134354828,EN
134357339,HU
134358173,HU
134361892,ED
134363433,AR
134364308,ED
134364310,ED
134367005,HU
134367275,ED
135441344,HU
135562164,ED
135641852,HU
135650955,HE
135658824,AR
136001550,AR
136018127,AR
136024454,ED
136034481,EN
136035434,AR
136035522,AR
136035523,EN
136085233,ED
136088960,HU
136093337,HE
136096832,HU
136116201,AR
136130396,HU
136133342,ED
136135471,AR
136140816,HU
136144216,HU
136151644,HE
136153182,ED
136161105,HE
136161286,ED
136161500,HE
136165658,AR
136167899,ED
136171220,HU
136177288,HU
136188356,HU
136189382,HE
136202532,AR
136215578,HE
136219856,ED
136227462,HE
136261035,ED
136266797,ED
136272104,AR
136275106,AR
136557352,ED
136740324,AR
136843024,ED
136844298,HE
137100017,ED
137230522,ED
140810461,HE
141704224,HE
141716788,HU
141759110,AR
141794569,ED
141803041,EN
141809391,AR
141814113,HE
141818254,EN
141837984,ED
141839245,ED
141842239,AR
141842635,EN
141843471,HU
141845722,HU
141845860,ED
141849849,HU
141850676,HU
141850828,HE
141851386,HU
141851639,ED
141851889,HU
141853807,ED
141855127,ED
141855665,HU
141857255,HU
141857617,HU
141858161,HU
141859173,ED
141860461,ED
141863398,HE
141864050,HU
141865697,HU
141869907,HU
141869951,HU
141871129,HU
141871526,ED
141872454,HE
141875043,HE
141875563,HU
141875888,HU
141877381,HU
141878083,HU
141878401,HU
141880319,ED
141881040,ED
141882967,ED
141884219,ED
141884382,HU
141885706,HU
141886698,HE
141888535,HE
141889369,HU
141894421,HE
141894787,HU
141895299,HE
141895828,HU
141903010,HU
141904589,HE
141905430,HU
141905856,HU
141906562,HE
141907795,ED
141910572,ED
141911330,HU
141912168,ED
141912831,ED
141913788,HU
141914620,AR
141916238,HU
141918174,HU
141923320,AR
141926871,HU
141927523,AR
141929926,EN
141935143,HU
141949431,HU
141950978,AR
141952294,AR
141953186,HU
141954238,ED
141958933,HU
141959675,HU
141967736,AR
141967818,ED
141969133,HU
141969556,ED
141970166,HU
141975087,HU
141975097,HU
141975929,HU
141976598,HU
141981647,HE
141981651,HE
141981653,HE
141987666,HU
141993156,AR
141998364,HU
141999434,HU
142002886,ED
142004043,EN
142004783,HU
142005722,HU
142009589,HU
142009874,HU
146222837,HU
146368150,HU
150532257,HE
150543962,ED
150826799,HU
151191339,ED
156024410,ED
161076023,HU
161100839,HU
161414078,AR
161477014,HE
161535133,HE
161571888,HE
161602276,EN
161612095,HE
161614585,HE
161615064,HU
161616384,AR
161616528,HU
161619211,ED
161620250,HE
161620816,ED
161623099,HU
161623171,HU
161623624,HU
161626533,ED
161630571,AR
161632540,HE
161633702,HU
161635261,HU
161636773,AR
161637567,EN
161639107,HE
161639171,HU
161643004,HE
161643395,HU
161644684,HU
161646476,AR
161647092,AR
161647998,HE
161654889,HU
161658105,HE
161659813,EN
161661538,ED
161663348,HU
161665110,ED
161666518,AR
161672491,HE
161672864,HU
161680512,ED
161681133,ED
161681342,AR
161682580,HU
161685974,HU
161687809,HU
161689864,AR
161695527,ED
161696653,HU
161698367,HE
161702654,HU
161703247,ED
161703359,HU
161704757,ED
161710112,ED
